SYMBOL,IONIC_RADIUS,MOD_OF_ELASTICITY,BP,MP,DENSITY,AT_WT,BCC_EFF_LAT_CNT,BCC_ENERGY,BCC_ENERGY_DIFF,BCC_FERMI,BCC_MAG_MOM,BCC_VOLUME_PA,BCC_VOLUME_DIFF,GS_BANDGAP,GS_EFF_LAT_CNT,GS_ENERGY,GS_MAG_MOM,GS_VOLUME_PA,HH_IP,HH_IR,ICSD_VOLUME,COV_RAD,ION_ERGY,ATOM_RAD,ELECT_AFF,AT_RAD,AT_VOL,MEN_NUM,N_WS_THIRD,1_ION_POT,2_ION_POT,3_ION_POT,CTE,SP_HEAT_CAP,THERMAL_COND,CONDUCTIVITY,HEAT_OF_FUSION,HEAT_OF_VAP,ELECTRONEGATIVITY,AT_NUM,PERIOD,GRP,VALENCE,IS_HEXAGONAL,IS_BCC,IS_CUBIC,IS_FCC,IS_ORTHO,IS_RHOMBO,IS_MONO,IS_TETRA,IS_ALKALI,IS_ALKALI_EARTH,IS_BORON,IS_CARBON,IS_CHALCOGEN,IS_HALOGEN,IS_HYDROGEN,IS_NOBLE_GAS,IS_PINICTIDE,IS_RARE_EARCH,IS_TRANS_METAL,S_ORBITAL,P_ORBITAL,D_ORBITAL,F-ORBITAL,STABLE_OXIDATION_STATE,IS_D_BLOCK,IS_F_BLOCK,IS_METAL,IS_METALLOID,IS_NONMETAL,ND_UNFILLED,ND_VALENCE,NF_UNFILLED,NF_VALENCE,NP_UNFILLED,NP_VALENCE,NS_UNFILLED,NS_VALENCE,N_UNFILLED
Ag,1.15,80.0,2436.0,1235.08,10.5,107.868,6.37595141509567,-2.71997917,0.0454143900000004,4.0527598,0.0,16.2,-0.129999999999999,0.0,6.39296101106242,-2.76539356,0.0,16.33,120.0,140.0,17.0,1.34,731.0,1.444,125.7,1.75,10.3,65.0,1.36,7.576,21.49,34.83,18.9,0.235,429.0,62.9,11.3,250.63,1.93,47,5,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,10,0,0,0,0,1,1,1
Cd,0.95,62.0,1040.0,594.26,8.65,112.41,6.79976931166655,-0.74033904,0.0718351850000001,3.9382943,0.0,19.65,0.154999999999998,0.0,6.78184314221099,-0.812174225,0.0,19.495,170.0,130.0,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70.0,1.24,8.993,16.908,37.48,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,10,0,0,0,0,0,2,0
In,0.8,14.0,2350.0,429.78,7.31,114.82,7.31163466517838,-2.65390512,0.0128968399999998,8.39826763,0.0,24.43,0.169999999999998,0.0,7.29463545323234,-2.66680196,0.0,24.26,330.0,200.0,26.1,1.44,558.3,1.66,29.0,2.0,15.7,75.0,1.17,5.786,18.869,28.03,32.1,0.233,81.6,3.4,3.26,226.335,1.78,49,5,13,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,10,0,0,5,1,0,2,5
Sn,0.71,50.0,2876.0,505.12,7.31,118.71,7.39058944993754,-3.89492544,0.0661216499999999,9.05054728,0.0,25.23,-8.055,0.0,8.10568112345761,-3.96104709,0.0,33.285,260.0,160.0,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80.0,1.24,7.344,14.632,30.502,22.0,0.228,66.6,8.7,7.2,290.37,1.96,50,5,14,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,10,0,0,4,2,0,2,4
Sb,0.76,67.0,1860.0,903.91,6.69,121.757,7.56791645753124,-3.88991513,0.22744721,8.38916182,0.0,27.09,-4.47,0.0,7.96316398213234,-4.11736234,0.0,31.56,790.0,340.0,30.2,1.4,833.7,1.59,101.0,1.53,18.23,85.0,1.26,8.641,16.53,25.3,11.0,0.207,24.3,2.6,19.83,67.97,2.05,51,5,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,0,0,10,0,0,3,3,0,2,3
Te,0.97,40.0,1261.0,722.72,6.24,127.6,7.67895529771151,-2.83411842,0.30718408667,7.95791419,0.0,28.3,-6.4633333333,0.464,8.22395007379751,-3.14130250667,0.0,34.7633333333,290.0,490.0,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90.0,,9.009,18.6,27.96,18.8,0.202,2.35,0.0002,17.49,50.63,2.1,52,5,16,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,10,0,0,2,4,0,2,2
I,2.2,,457.5,386.7,4.93,126.9045,8.27073449931633,-1.05350365,0.4518987675,4.49323253,0.0,35.36,-7.655,1.062,8.82903631832734,-1.5054024175,0.0,43.015,490.0,480.0,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,96.0,,10.451,19.131,33.0,87.0,0.145,0.449,1E-11,7.76,20.9,2.66,53,5,17,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,10,0,0,1,5,0,2,1
Xe,0.48,,165.1,161.39,5.9,131.29,10.7060436931533,-0.95305264,-1.00178392,2.48552208,0.0,76.695,23.045,6.456,9.5037842725958,0.04873128,0.0,53.65,,,57.8,1.31,1170.4,1.31,-41.0,1.24,37.3,102.0,,12.13,21.21,32.1,253.0,0.158,0.00569,0.0,2.3,12.64,0.0,54,5,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,6,0,2,0
Cs,1.74,1.8,944.0,301.54,1.87,132.9054,12.3605405376588,-0.85260163,0.0020248299999999,0.47781163,0.0,118.03,2.265,0.0,12.2809629055338,-0.85462646,0.0,115.765,600.0,600.0,67.5,2.35,375.7,2.67,45.49,3.34,71.07,5.0,0.55,3.894,25.1,0.0,100.0,0.24,35.9,5.3,2.092,67.74,0.79,55,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Ba,1.42,13.0,2078.0,1002.0,3.59,137.33,10.0577986216445,-1.92352226,0.0,1.59964069,0.0,63.59,0.0,0.0,10.0577986216445,-1.92352226,0.0,63.59,300.0,230.0,62.8,1.98,502.9,2.22,-52.0,2.76,39.24,9.0,0.81,5.212,10.004,0.0,20.6,0.204,18.4,2.8,8.01,140.2,0.89,56,6,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
La,1.16,50.0,3737.0,1191.0,6.15,138.9055,8.4320768992023,-4.79586452,0.131681664999999,7.77495265,0.0008051,37.47,0.572499999999998,0.0,8.38891205220146,-4.927546185,0.0,36.8975,950.0,310.0,37.4,1.25,538.1,1.877,50.0,2.74,20.73,13.0,1.18,5.58,11.059,19.174,5.2,0.19,13.5,1.9,11.3,399.57,1.1,57,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,1,0,0,9,1,0,0,0,0,0,2,9
Ce,1.14,30.0,3715.0,1071.0,6.77,140.12,8.38682742661131,-4.65518148,0.121388169999999,3.65500445,0.0,36.87,-0.370000000000005,0.0,8.41478876292688,-4.77656965,0.0,37.24,950.0,310.0,34.4,1.65,527.8,1.825,50.0,2.7,20.67,15.0,1.19,5.54,10.851,20.2,5.2,0.19,11.4,1.4,9.2,313.8,1.12,58,6,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,9,1,13,1,0,0,0,2,22
Pr,1.13,50.0,3785.0,1204.0,6.77,140.9077,8.31185223060113,-4.64853984,0.12529012,3.59202414,0.0,35.89,0.215000000000003,0.0,8.29522152003546,-4.77382996,0.0,35.675,950.0,310.0,34.5,1.65,523.0,1.828,50.0,2.67,20.8,17.0,1.2,5.46,10.551,21.62,5.4,0.193,12.5,1.5,10.04,332.63,1.13,59,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,11,3,0,0,0,2,11
Nd,1.29,38.0,3347.0,1294.0,7.01,144.24,8.24021490626229,-4.6307523,0.13159904,3.44641484,0.0,34.97,0.159999999999997,0.0,8.22762840089464,-4.76235134,0.0,34.81,950.0,310.0,34.2,1.64,530.0,1.821,50.0,2.64,20.6,19.0,1.2,5.53,10.727,22.076,6.9,0.19,16.5,1.6,10.88,283.68,1.14,60,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,10,4,0,0,0,2,10
Pm,1.09,42.0,3273.0,1315.0,7.22,145.0,8.17130561560935,-4.60804875,0.1365725925,3.36326605,0.0,34.1,0.2575,0.0,8.15068557846985,-4.7446213425,0.0,33.8425,950.0,310.0,33.6,1.63,535.0,1.81,50.0,2.62,22.39,21.0,1.21,5.554,10.903,22.283,0.0,0.0,17.9,2.0,0.0,0.0,1.13,61,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,9,5,0,0,0,2,9
Sm,1.08,45.0,2067.0,1347.0,2.75,150.36,8.12875014260009,-4.5732413,0.140138335,3.25688831,0.0,33.57,0.340000000000003,0.0,8.10121406381752,-4.713379635,0.0,33.23,950.0,310.0,33.1,1.62,543.0,1.802,50.0,2.59,19.95,23.0,1.21,5.64,11.069,23.423,0.0,0.197,13.3,1.1,11.09,191.63,1.17,62,6,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,8,6,0,0,0,2,8
Eu,1.07,15.0,1800.0,1095.0,5.24,151.965,8.35562387818653,-1.82958684,0.0,2.43429944,0.0,36.46,0.0,0.0,8.35562387818653,-1.82958684,0.0,36.46,950.0,310.0,48.5,1.85,547.0,2.042,50.0,2.56,28.9,25.0,0.88,5.67,11.245,24.926,41.0,0.182,13.9,1.1,10.46,175.73,1.2,63,6,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,7,7,0,0,0,2,7
Gd,1.05,55.0,3545.0,1585.0,7.9,157.25,8.05215918830477,-4.51068704,0.14373427,3.3984822,0.0,32.63,0.580000000000005,0.0,8.00416449840962,-4.65442131,0.0,32.05,950.0,310.0,32.9,1.61,592.0,1.802,50.0,2.54,19.9,27.0,1.21,6.15,12.095,20.635,-2.0,0.236,10.6,0.8,15.48,311.71,1.2,64,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,9,1,7,7,0,0,0,2,16
Tb,1.18,57.0,3500.0,1629.0,8.23,158.9253,8.00998752597674,-4.48480688,0.14441081667,3.36716234,0.0,32.12,0.383333333299998,0.0,7.9779950840129,-4.62921769667,0.0,31.7366666667,950.0,310.0,31.9,1.59,564.0,1.782,50.0,2.51,19.2,29.0,1.22,5.86,11.525,21.91,9.4,0.18,11.1,0.9,0.0,0.0,1.2,65,6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,5,9,0,0,0,2,5
Dy,1.03,63.0,2840.0,1685.0,8.55,162.5,7.9336173583474,-4.45538074,0.146173713330001,3.35771331,0.0,31.21,-0.0299999999999976,0.0,7.93615855562507,-4.60155445333,0.0,31.24,950.0,310.0,31.6,1.59,572.0,1.773,50.0,2.49,19.0,31.0,1.22,5.94,11.67,22.802,9.6,0.173,10.7,1.1,11.06,230.0,1.22,66,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,4,10,0,0,0,2,4
Ho,1.02,72.0,2968.0,1747.0,8.8,164.9303,7.94292713763147,-4.4347242,0.14269267667,3.13511407,0.0,31.32,0.586666666700001,0.0,7.89302023755781,-4.57741687667,0.0,30.7333333333,950.0,310.0,31.1,1.58,581.0,1.766,50.0,2.47,18.7,33.0,1.22,6.018,11.805,22.843,9.8,0.165,16.2,1.1,17.15,251.04,1.23,67,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,3,11,0,0,0,2,3
Er,1.0,73.0,3140.0,1802.0,9.07,167.26,7.88845185556048,-4.42187783,0.141755915,3.16018015,0.0,30.68,0.0949999999999989,0.0,7.88030129316004,-4.563633745,0.0,30.585,950.0,310.0,30.6,1.57,589.0,1.757,50.0,2.45,18.4,35.0,1.23,6.101,11.929,22.739,9.4,0.168,14.3,1.2,17.15,292.88,1.24,68,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,2,12,0,0,0,2,2
Tm,1.09,76.0,2223.0,1818.0,9.32,168.9342,7.82364074557323,-4.33081911,0.14305938,3.10359129,0.0,29.93,0.149999999999999,0.0,7.81054895279766,-4.47387849,0.0,29.78,950.0,310.0,30.1,1.56,596.0,1.78,50.0,2.42,18.1,37.0,1.23,6.184,12.054,26.367,12.0,0.16,16.8,1.3,16.8,191.0,1.25,69,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,1,13,0,0,0,2,1
Yb,0.99,18.0,1469.0,1092.0,6.97,173.04,8.1456649508884,-1.46751146,0.0065926199999999,1.85545181,0.0,33.78,-0.339999999999996,0.0,8.17290282159522,-1.47410408,0.0,34.12,950.0,310.0,41.1,1.7,603.0,1.94,50.0,2.4,24.79,39.0,0.92,6.254,12.188,25.03,25.1,0.155,34.9,3.7,7.7,128.0,1.1,70,6,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,14,0,0,0,2,0
Lu,0.98,84.0,3668.0,1936.0,9.84,174.967,7.7727738032124,-4.38490891,0.13809111,2.96715842,0.0,29.35,0.485000000000003,0.0,7.72972152649604,-4.52300002,0.0022471,28.865,950.0,310.0,29.5,1.56,524.0,1.734,50.0,2.25,17.78,41.0,1.24,5.43,13.888,20.957,8.2,0.15,16.4,1.5,18.6,355.0,1.27,71,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,9,1,0,14,0,0,0,2,9
Hf,0.83,139.0,4875.0,2504.0,13.31,178.49,7.04676175410395,-9.77464936,0.179649975,4.73267057,0.0,21.87,-0.329999999999998,0.0,7.08202821013824,-9.954299335,0.0,22.2,340.0,260.0,22.4,1.44,642.0,1.564,0.0,2.16,13.6,45.0,1.45,6.65,14.925,23.32,5.9,0.14,23.0,3.4,21.76,661.07,1.3,72,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0,8,2,0,14,0,0,0,2,8
Ta,0.64,183.0,5730.0,3293.0,16.65,180.9479,6.61849723862901,-11.85139954,0.0,5.43624355,0.0,18.12,0.0,0.0,6.61849723862901,-11.85139954,0.0,18.12,230.0,480.0,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48.0,1.63,7.89,0.0,0.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0,1,0,0,7,3,0,14,0,0,0,2,7
W,0.6,401.0,5825.0,3695.0,19.3,183.85,6.35621150109768,-12.95880062,0.0,7.37947651,0.0,16.05,0.0,0.0,6.35621150109768,-12.95880062,0.0,16.05,700.0,430.0,15.8,1.3,770.0,1.37,60.0,2.02,9.53,51.0,1.81,7.98,0.0,0.0,4.5,0.13,174.0,18.2,35.4,422.58,2.36,74,6,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,1,0,0,6,4,0,14,0,0,0,2,6
Re,0.53,461.0,5870.0,3455.0,21.0,186.207,6.18672149508814,-12.10177805,0.315249715,8.74669745,0.0,14.8,0.145000000000001,0.0,6.16645076754074,-12.417027765,0.0,14.655,330.0,330.0,14.7,1.28,760.0,1.37,14.0,1.97,8.85,54.0,1.85,7.88,0.0,0.0,6.2,0.137,47.9,5.8,33.05,707.1,1.9,75,6,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,1,0,0,5,5,0,14,0,0,0,2,5
Os,0.63,550.0,5300.0,3300.0,22.6,190.2,6.15591340803611,-10.33236566,0.88833833,8.77732215,0.0,14.58,0.49,0.0,6.08616410861809,-11.22070399,0.0,14.09,5.5,9.1,13.8,1.26,840.0,1.34,110.0,1.92,8.49,57.0,1.85,8.7,0.0,0.0,5.1,0.13,87.6,12.3,29.29,627.6,2.2,76,6,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0,4,6,0,14,0,0,0,2,4
Ir,0.63,533.0,4700.0,2720.0,22.6,192.22,6.16294231732528,-8.22715557,0.621355879999999,9.63998473,0.4830855,14.63,0.42,0.0,6.10339325675201,-8.84851145,0.0,14.21,5.5,9.1,13.8,1.27,880.0,1.357,150.0,1.87,8.54,60.0,1.83,9.1,0.0,0.0,6.4,0.13,147.0,21.3,26.36,563.58,2.2,77,6,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0,3,7,0,14,0,0,0,2,3
Pt,0.63,175.0,4100.0,2042.1,21.45,195.08,6.22411695887606,-5.92513799,0.10337169,7.72009177,0.0,15.07,0.0500000000000007,0.0,6.2172257697173,-6.02850968,0.0,15.02,550.0,910.0,15.1,1.3,870.0,1.38,205.3,1.83,9.1,63.0,1.78,9.0,18.563,0.0,8.8,0.13,71.6,9.4,19.66,510.45,2.28,78,6,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0,1,9,0,14,0,0,1,1,2
Au,0.85,78.3,3130.0,1337.58,19.3,196.9665,6.44473861342705,-3.18445282,0.0252397899999997,6.00475614,0.0,16.73,0.0300000000000011,0.0,6.44088410376749,-3.20969261,0.0,16.7,1.1,1.0,16.9,1.34,890.1,1.442,222.74,1.79,10.2,66.0,1.57,9.225,20.521,0.0,14.2,0.128,317.0,48.8,12.36,324.43,2.54,79,6,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,0,10,0,14,0,0,1,1,1
Hg,1.02,22.0,629.88,234.31,13.55,200.59,7.09582509301725,-0.15983096,0.090274602414,3.26813685,0.0,22.33,-2.9075862069,0.0,7.39133011478387,-0.250105562414,0.0,25.2375862069,550.0,310.0,23.8,1.49,1007.0,1.6,0.0,1.76,14.82,71.0,1.24,10.437,18.759,34.202,49.0,0.14,8.34,1.0,2.292,59.3,2.0,80,6,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,10,0,14,0,0,0,2,0
Tl,1.59,12.0,1746.0,577.0,11.85,204.383,7.48887238721851,-2.25289773,0.0197798000000002,7.60896575,0.0,26.25,-0.66,0.0,7.55111747563339,-2.27267753,0.0,26.91,650.0,650.0,28.5,1.48,589.3,1.71,30.0,2.08,17.2,76.0,1.12,6.108,20.428,29.829,29.9,0.129,46.1,5.6,4.27,162.09,2.04,81,6,13,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10,0,14,5,1,0,2,5
Pb,1.19,20.0,2023.0,600.65,11.35,207.2,7.64443042282547,-3.58277457,0.0462550399999997,8.30350334,0.0,27.92,-0.189999999999998,0.0,7.66173175379231,-3.62902961,0.0,28.11,270.0,180.0,30.3,1.47,715.5,1.75,110.0,1.81,18.17,81.0,1.15,7.416,15.028,31.943,28.8,0.129,35.3,4.8,4.77,177.9,2.33,82,6,14,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,10,0,14,4,2,0,2,4
Bi,1.03,34.0,1837.0,544.59,9.75,208.9804,7.82189770424439,-3.89538374,0.0783106599999996,8.46315729,0.0,29.91,-3.04,0.0,8.07839591723356,-3.9736944,0.0,32.95,530.0,600.0,35.3,1.46,703.3,1.7,110.0,1.63,21.3,86.0,1.16,7.289,16.687,25.559,13.4,0.122,7.87,0.9,11.0,179.0,2.02,83,6,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,10,0,14,3,3,0,2,3
Po,1.0,26.0,1235.0,527.0,9.3,209.0,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0.0,37.5,-1.23125,0.0,8.52564343575276,-4.03934834875,0.0,38.73125,,,37.3,1.53,812.0,1.76,180.0,1.53,22.23,91.0,,8.42,0.0,0.0,23.0,0.0,20.0,0.7,13.0,120.0,2.0,84,6,16,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,10,0,14,2,4,0,2,2
At,0.62,,610.0,575.0,0.0,210.0,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0.0,37.5,-1.23125,0.0,8.52564343575276,-4.03934834875,0.0,38.73125,,,39.4,1.47,0.0,1.42,270.0,1.43,0.0,97.0,,0.0,0.0,0.0,0.0,0.0,1.7,0.0,12.0,30.0,2.2,85,6,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,10,0,14,1,5,0,2,1
Rn,0.0,,211.4,202.0,9.73,222.0,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0.0,37.5,-1.23125,0.0,8.52564343575276,-4.03934834875,0.0,38.73125,,,41.7,0.0,1037.0,1.4,-41.0,1.34,50.5,103.0,,10.748,0.0,0.0,0.0,0.094,0.00364,0.0,2.9,16.4,0.0,86,6,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,14,0,6,0,2,0
Fr,1.8,2.0,950.0,300.0,0.0,223.0,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0.0,37.5,-1.23125,0.0,8.52564343575276,-4.03934834875,0.0,38.73125,,,79.6,0.0,0.0,2.7,44.0,2.7,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.1,64.0,0.7,87,7,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Ra,1.62,16.0,1413.0,973.0,5.0,226.0254,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0.0,37.5,-1.23125,0.0,8.52564343575276,-4.03934834875,0.0,38.73125,,,68.2,0.0,509.3,2.2,0.0,2.23,45.2,10.0,,5.279,10.148,0.0,8.0,0.094,18.6,1.0,8.37,136.82,0.9,88,7,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Ac,0.0,34.0,3470.0,1324.0,10.07,227.0,8.96878072039237,-3.96089058,0.1441117175,6.15712712,0.0,45.09,0.577500000000001,0.0,8.93032620748247,-4.1050022975,0.0,44.5125,,,37.4,0.0,498.8,1.878,0.0,1.88,22.54,14.0,,5.17,12.126,0.0,0.0,0.12,12.0,0.0,0.0,0.0,1.1,89,7,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,1,0,0,9,1,0,0,0,0,0,2,9
Th,1.05,73.0,5060.0,2028.0,11.72,232.0381,8.07839591723356,-7.26654681,0.14599625,7.42513365,0.0,32.95,0.580000000000005,0.0,8.03071525405441,-7.41254306,0.0,32.37,,,32.8,1.65,587.0,1.798,0.0,1.8,19.9,16.0,1.28,6.01,11.504,20.003,11.0,0.113,54.0,7.1,15.65,543.92,1.3,90,7,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,8,2,0,0,0,0,0,2,8
Pa,0.91,100.0,4300.0,1845.0,15.4,231.0359,7.32458092629781,-9.31763091,0.17978156,12.94746448,0.0,24.56,-0.620000000000001,0.0,7.38570407738098,-9.49741247,0.0,25.18,,,24.9,0.0,568.0,1.606,0.0,1.61,15.0,18.0,,5.89,0.0,0.0,9.7,0.0,47.0,5.6,0.0,0.0,1.5,91,7,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,1,0,0,9,1,12,2,0,0,0,2,21
U,0.81,186.0,4407.0,1408.0,18.95,238.029,6.86602354655925,-11.0174143,0.274925654999999,14.86914267,0.0,20.23,0.205000000000002,0.0,6.84275255995857,-11.292339955,0.0,20.025,,,21.1,1.42,584.0,1.385,0.0,1.38,12.59,20.0,1.51,6.05,0.0,0.0,13.9,0.12,27.6,3.6,15.48,422.58,1.38,92,7,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1,1,0,0,9,1,11,3,0,0,0,2,20
Np,0.75,900.0,4175.0,912.0,20.2,237.0482,6.58545926462568,-12.49858152,0.4417328362,18.54401272,9.09E-05,17.85,-0.603749999999998,0.0,6.65888536568129,-12.9403143562,0.0,18.45375,,,19.2,0.0,597.0,1.31,0.0,1.3,11.62,22.0,,6.19,0.0,0.0,28.0,0.0,6.3,0.8,0.0,0.0,1.36,93,7,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,1,0,0,9,1,10,4,0,0,0,2,19
Pu,0.86,97.0,3505.0,913.0,19.84,244.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,20.0,1.08,585.0,1.51,0.0,1.51,12.32,24.0,1.44,6.06,0.0,0.0,46.7,0.13,6.74,0.7,0.0,0.0,1.28,94,7,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,0,0,8,6,0,0,0,2,8
Am,0.0,,2880.0,1449.0,13.7,243.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,29.2,0.0,578.2,0.0,0.0,1.84,17.86,26.0,,5.993,0.0,0.0,7.1,0.0,10.0,0.7,0.0,0.0,1.3,95,7,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,7,7,0,0,0,2,7
